81	请	請	qing3	qǐng	please; invite; to treat someone to something	1	0	0	0	0
82	去	去	qu4	qù	go; to leave	1	0	0	0	0
83	热	熱	re4	rè	heat; hot	1	0	0	0	0
84	人	人	ren2	rén	person; man; people	1	0	0	0	0
85	认识	認識	ren4shi5	rènshi	recognize; know (a person)	1	0	0	0	0
86	三	三	san1	sān	three	1	0	0	0	0
87	商店	商店	shang1dian4	shāngdiàn	shop; store	1	0	0	0	0
88	上	上	shang4	shàng	above; up	1	0	0	0	0
89	上午	上午	shang4wu3	shàngwǔ	late morning (before noon)	1	0	0	0	0
90	少	少	shao3	shǎo	few; little	1	0	0	0	0
91	谁	誰	shei2	shéi	who	1	0	0	0	0
92	什么	什麼	shen2me5	shénme	what? (replaces the noun to turn a statement into a question)	1	0	0	0	0
93	十	十	shi2	shí	ten	1	0	0	0	0
94	时候	時候	shi2hou5	shíhou	time	1	0	0	0	0
95	是	是	shi4	shì	be; is; are; am	1	0	0	0	0
96	书	書	shu1	shū	book; letter	1	0	0	0	0
97	水	水	shui3	shuǐ	water	1	0	0	0	0
98	水果	水果	shui3guo3	shuǐguǒ	fruit	1	0	0	0	0
99	睡觉	睡覺	shui4 jiao4	shuì jiào	to sleep; go to bed	1	0	0	0	0
100	说	說	shuo1	shuō	speak	1	0	0	0	0
101	四	四	si4	sì	four	1	0	0	0	0
102	岁	歲	sui4	suì	years old; age	1	0	0	0	0
103	他	他	ta1	tā	he; him	1	0	0	0	0
104	她	她	ta1	tā	she	1	0	0	0	0
105	太	太	tai4	tài	too (much)	1	0	0	0	0
106	天气	天氣	tian1qi4	tiānqì	weather	1	0	0	0	0
107	听	聽	ting1	tīng	listen; hear	1	0	0	0	0
108	同学	同學	tong2xue2	tóngxué	fellow student; schoolmate	1	0	0	0	0
109	喂	喂	wei4	wèi	hello (on the phone)	1	0	0	0	0
110	我	我	wo3	wǒ	I; me	1	0	0	0	0
111	我们	我們	wo3men5	wǒmen	we; us	1	0	0	0	0
112	五	五	wu3	wǔ	five	1	0	0	0	0
